"","meta.wthk.r","meta.wthk.se","meta.wthk.zval","meta.wthk.pval","meta.wthk.ci.lb","meta.wthk.ci.ub","meta.wthk.tau2","meta.wthk.tause","meta.wthk.i2","meta.wthk.h2","meta.wthk.npat","fdr.p","fdr.p.mean"
"L_precuneus_thickavg",0.00173930986968873,0.0214854214709528,0.080953025382359,0.9354793101466,-0.0403713424060424,0.0438499621454199,0.00119432950229731,0.00589782786984712,11.8094057580143,1.13390776941145,2666,0.979353110222236,1
"L_rostralanteriorcingulate_thickavg",0.0603064926435821,0.0192953233971271,3.12544606806441,0.00177535621109628,0.02248835371516,0.0981246315720043,0,0.00574565945202889,0,1,2657,0.0355071242219256,1
"L_rostralmiddlefrontal_thickavg",0.00570759124571542,0.0312121285687662,0.182864530790988,0.854904313900862,-0.0554670566299,0.0668822391213309,0.0105602546220376,0.00830535175934262,54.4680328457595,2.19625916142054,2665,0.979353110222236,1
"L_superiorfrontal_thickavg",0.0288197176409916,0.0246292820061016,1.17014038955142,0.241944476923901,-0.019452788056048,0.0770922233380311,0.00351545069188321,0.00646120677292449,28.3089454667454,1.39487416737069,2665,0.78046605459323,1
"L_superiorparietal_thickavg",0.00785728731375268,0.0230921926788824,0.340257307870902,0.733662764455019,-0.0374025786609163,0.0531171532884217,0.00215835432468554,0.00613076139386933,19.1948250523859,1.2375445021291,2623,0.972509139761302,1
"L_superiortemporal_thickavg",0.0112465486848262,0.0199575118726659,0.563524589466968,0.573077720882567,-0.0278694558066295,0.050362553176282,0,0.00569226779299551,0,1,2492,0.970759139010964,1
"L_supramarginal_thickavg",0.00354933380256335,0.0204190154113302,0.173824924026155,0.862003056033819,-0.0364712010034121,0.0435698686085388,0.000316545087929673,0.0057897836514189,3.25982779516942,1.03369673343425,2530,0.979353110222236,1
"L_frontalpole_thickavg",0.0491751747757538,0.0191131611653256,2.57284362070705,0.0100866771576429,0.0117140672610059,0.0866362822905017,0,0.00568920803484546,0,1,2691,0.168111285960714,1
"L_temporalpole_thickavg",0.0314522887135987,0.0193824616998133,1.6227189920825,0.104649489555256,-0.00653663814976244,0.0694412155769598,0,0.00564056319969536,0,1,2640,0.560485928124948,1
"L_transversetemporal_thickavg",0.0304752713650372,0.0192728396950128,1.58125485643526,0.113819777076214,-0.00729880031700176,0.0682493430470762,0,0.00572447767386465,0,1,2691,0.560485928124948,1
"L_insula_thickavg",0.0249967427501085,0.0249474374396623,1.00197636773579,0.316355006741181,-0.0238993361381956,0.0738928216384127,0.00369370661650462,0.00664242084693984,29.0786006301722,1.41001165922486,2618,0.797392076038156,1
"R_bankssts_thickavg",-0.0104042663560141,0.0194338716450635,-0.535367658387153,0.592395649498342,-0.0484939548605127,0.0276854221484845,0,0.0057096968549451,0,1,2620,0.970759139010964,1
"R_caudalanteriorcingulate_thickavg",0.0505628969944623,0.023996165451333,2.10712403600524,0.0351068293610595,0.00353127694278527,0.0975945170461394,0.00308006885781825,0.0063975862935781,25.9453862907612,1.35035475834944,2683,0.31915299419145,1
"R_caudalmiddlefrontal_thickavg",0.0528907310602732,0.0304122546941854,1.73912561209694,0.0820126704386883,-0.0067161928289894,0.112497654949536,0.00959451032763339,0.00801364174666492,52.2083997641728,2.0924179041202,2667,0.490656621213654,1
"R_cuneus_thickavg",0.0178815336782993,0.0239613707515098,0.746265055690628,0.45550731614109,-0.0290818900148715,0.06484495737147,0.0026782696272332,0.00638624413438469,22.4756642087585,1.28991753337018,2569,0.924594155671374,1
"R_entorhinal_thickavg",0.0293419672600745,0.0234817425469158,1.24956515477717,0.211458438672474,-0.0166814024261222,0.0753653369462713,0.00198276718143729,0.00644870039169204,16.8978789304041,1.20333872003402,2431,0.762627542718044,1
"R_fusiform_thickavg",0.0149384758861822,0.0194132191853971,0.769500191777528,0.441596430725548,-0.0231107345411781,0.0529876863135425,0,0.00558551621042819,0,1,2647,0.924594155671374,1
"R_inferiorparietal_thickavg",0.0103492847622579,0.0196631465636482,0.526329025151597,0.598659619651242,-0.0281897743252251,0.048888343849741,0,0.00564235515966392,0,1,2584,0.970759139010964,1
"R_inferiortemporal_thickavg",0.00724006350056685,0.0282110847027827,0.256638962196753,0.797457494604268,-0.048052646481696,0.0625327734828297,0.00682049609920713,0.00729430072451897,43.0021048524485,1.75445075192914,2621,0.972509139761302,1
"R_isthmuscingulate_thickavg",-0.011976294912292,0.0280004281038325,-0.427718278730629,0.668856240373266,-0.0668561255475068,0.0429035357229228,0.0067797140774729,0.00719077827109259,43.3962078494741,1.76666608721322,2675,0.972509139761302,1
"R_lateraloccipital_thickavg",-0.000154446128868067,0.0194254509078974,-0.00795071010708312,0.993656317992908,-0.0382276302917978,0.0379187380340617,0,0.00559558976888662,0,1,2638,0.993656317992908,1
"R_lateralorbitofrontal_thickavg",0.0237958273409442,0.0227785996441938,1.04465716561333,0.296181448628046,-0.0208494075799325,0.068441062261821,0.00197262779026435,0.00614940328284166,17.9417164710697,1.21864601231568,2636,0.797392076038156,1
